CompanyName,Year_Founded,HeadQuarter,Founders,Investor,Industry,Head Quarter,Industry In,AboutCompany,Amount in ($),Funding_Round_Series
Tamasha,2020,Mumbai,"Saurabh Gupta, Siddharth Swarnkar",Chiratae Ventures,,Mumbai,Entertainment,"Tamasha, the next-generation interactive entertainment platform.",3000000.0,Pre-series A
Revfin,2017,New Delhi,Sameer Aggarwal,"Ruchirans Jaipuria, Rishi Kajaria",,New Delhi,Financial Services,"RevFin is a financial technology (FinTech) company, advanced digital lending platform makes getting a loan convenient and accessible for customers",4000000.0,Pre-series A
Yu Foodlabs,2020,Gurugram,"Bharat Bhalla, Varun Kapur","Manish Choksi, Varun Vakil",,Gurugram,Food & Beverages,Re-imagining Packaged Foods with Natural Ingredients & ZERO Preservatives,1000000.0,Pre-series A
FarMart,2015,Gurugram,"Alekh Sanghera, Mehtab Singh Hans",Matrix Partners India,,Gurugram,Farming,FarMart is an agritech platform that helps businesses easily source high quality produce at reasonable prices.,10000000.0,Series A
Questt,2020,Gurugram,"Akhil, Mohsin M, Rohit Pande",Celesta Capital,,Gurugram,EdTech,Questt is a Free online homework app that lets teachers assign gamified homework to students.,6750000.0,Series A
IDfy,2011,Mumbai,Ashok Hariharan,"TransUnion, Blume Ventures",,Mumbai,Information Technology & Services,IDfy helps people and business build authentic relationships by ensuring that both parties are who they claim to be and can be trusted.,10000000.0,Series D
ClearDekho,2016,Ghaziabad,"Saurabh Dayal, Shivi Singh",Aroa Ventures,,Ghaziabad,Retail,ClearDekho is India’s Leading Affordable Eyewear Brand.,4000000.0,Pre-series A
BookingJini,2017,Gurugram,"Deepak Dash, Gourab Kumar Nandy, Manoj Pandia, Sibasish Mishra",Mumbai Angels Network,,Gurugram,Hospitality,BookingJini strive to empower Hotels from all aspects ranging from customer outreach to automate their booking process and improve their online presence and revenue to stimulate Top-line and Bottom-line growth.,1200000.0,Pre-series A
Sourcewiz,2021,Gurugram,"Divyaanshu Makkar, Vikas, Mayur","Blume, Alpha Wave Incubation",,Gurugram,Information Technology & Services,Building a platform for exporters to digitize their workflows and help them grow and manage their business.,3000000.0,Seed
Kafqa Academy,2021,Bangalore,Shariq Plasticwala,"Global Founders Capital, Enzia Ventures, Better Capital",,Bangalore,E-learning,"Kafqa Academy is a global performing arts academy that offers classes in dancing, singing, and speech & drama.",1300000.0,Seed
